category,sub_category,region,segment,order_count,safe_max_discount_pct
Furniture,Chairs & Chairmats,Prarie,Small Business,13,0.0
Technology,Telephones and Communication,Ontario,Consumer,35,0.0
Technology,Telephones and Communication,Ontario,Corporate,68,0.0
Technology,Telephones and Communication,Ontario,Home Office,48,0.0
Technology,Telephones and Communication,Ontario,Small Business,31,0.0
Technology,Telephones and Communication,Prarie,Consumer,35,0.0
Technology,Telephones and Communication,Prarie,Corporate,66,0.0
Technology,Telephones and Communication,Prarie,Home Office,43,0.0
Technology,Telephones and Communication,Prarie,Small Business,31,0.0
Technology,Telephones and Communication,Quebec,Consumer,20,0.0
Technology,Telephones and Communication,Quebec,Corporate,26,0.0
Technology,Telephones and Communication,Quebec,Home Office,15,0.0
Technology,Telephones and Communication,Quebec,Small Business,18,0.0
Technology,Telephones and Communication,West,Consumer,43,0.0
Technology,Telephones and Communication,West,Corporate,86,0.0
Technology,Telephones and Communication,Yukon,Corporate,22,0.0
Technology,Telephones and Communication,Yukon,Consumer,10,0.0
Furniture,Bookcases,Atlantic,Home Office,5,0.0
Furniture,Bookcases,Atlantic,Small Business,9,0.0
Furniture,Bookcases,Northwest Territories,Corporate,5,0.0
Furniture,Bookcases,Ontario,Consumer,6,0.0
Furniture,Bookcases,Ontario,Corporate,12,0.0
Furniture,Bookcases,Ontario,Home Office,9,0.0
Furniture,Bookcases,Ontario,Small Business,8,0.0
Furniture,Bookcases,Prarie,Corporate,13,0.0
Furniture,Bookcases,Prarie,Home Office,6,0.0
Furniture,Bookcases,Prarie,Small Business,6,0.0
Furniture,Bookcases,Quebec,Consumer,6,0.0
Furniture,Bookcases,Quebec,Corporate,5,0.0
Furniture,Bookcases,West,Consumer,13,0.0
Furniture,Bookcases,West,Corporate,16,0.0
Technology,Telephones and Communication,Yukon,Small Business,7,0.0
Furniture,Chairs & Chairmats,Quebec,Consumer,10,0.0
Technology,Copiers and Fax,Atlantic,Corporate,9,0.0
Technology,Copiers and Fax,Ontario,Home Office,5,0.0
