date,forecast,forecast_lower,forecast_upper
2009-01-01,444203.4797917169,386456.6181136407,507185.81545942795
2009-02-01,286538.0661344276,225004.0343597286,348868.8476459481
2009-03-01,346140.4371576767,282115.41049439175,407261.80299419037
2009-04-01,315921.7554487512,255017.32904528207,378367.60500784835
2009-05-01,309869.3526105038,243806.11744718888,368568.4532443034
2009-06-01,275853.43601925083,210828.78510375085,334492.23501027224
2009-07-01,315739.88650010125,253756.6043694761,378295.38489185437
2009-08-01,286251.1816034073,223445.42478906488,346778.34684890835
2009-09-01,363024.40892448736,299190.9392185124,428380.1634597283
2009-10-01,379678.0085921339,317598.133330551,442449.01338670735
2009-11-01,249579.31210786267,183269.99886661695,311006.92921563005
2009-12-01,410231.5724374187,344674.2487217939,474649.9501711545
2010-01-01,386072.2974480432,323776.14206402993,445586.4761598508
2010-02-01,293599.12626027194,229441.53511742485,355261.2768095335
2010-03-01,319977.65778625885,258646.15219434357,378821.6243009916
2010-04-01,321425.1526905214,260172.64719371282,384545.44804488256
2010-05-01,290985.21606671833,229394.97414249036,349235.1722871554
2010-06-01,262790.0017645156,198568.14649214465,327428.0299650941
2010-07-01,300334.27441033424,238173.35131853574,364963.4286415936
2010-08-01,271047.133753084,206507.64362540285,329095.75965818757
2010-09-01,339613.2016718942,272871.59946211067,404991.0306102826
2010-10-01,342875.39080081397,285311.807484993,408223.4649431322
2010-11-01,303762.7407161743,245793.88785235985,365634.29698451096
2010-12-01,370627.08013096906,312720.95762881986,431288.41158607905
2011-01-01,332250.4736740542,273830.57388293114,397677.11467708275
2011-02-01,299526.8641959924,238434.6802269087,361381.7242490145
2011-03-01,295207.65800272697,236965.64021251223,356803.0517016928
2011-04-01,325525.76084972156,265348.7762044875,388362.36889738607
2011-05-01,272596.7833314634,210077.61836582678,336321.3899258156
2011-06-01,250025.13078514655,190586.33526998485,310268.37066927267
2011-07-01,285317.30083286064,222837.91977797053,345313.1864427035
2011-08-01,256324.4277582668,197012.88423012703,322232.8861452693
2011-09-01,317257.7968820152,256657.82968306885,382736.5296378955
2011-10-01,309130.60648230533,249806.21107469164,371162.14948337345
2011-11-01,352187.6884658958,287771.9203533785,413760.69280750747
2011-12-01,332046.14430321316,268124.3086817362,389260.6043091373
2012-01-01,282694.0631658019,223523.5899383828,353836.9995469209
2012-02-01,304332.8813272961,247230.33061944367,372025.5775667236
2012-03-01,311966.100090253,247966.36477077586,376073.80512172193
2012-04-01,257765.28939101484,193813.49312127905,316294.2950626581
2012-05-01,274516.995866621,215863.24148740346,337740.1650803426
2012-06-01,241023.05871869082,183647.40467517148,301562.8531731502
2012-07-01,276149.6469909534,214621.4863755549,335108.4291021171
2012-08-01,251381.11149650844,192176.83614587627,312984.9412503561
2012-09-01,322480.95084341307,261965.74789497856,385244.86652045976
2012-10-01,349139.19500039186,292993.633100252,410451.6780098499
2012-11-01,157554.73721854488,99123.08539976244,216871.25630284555
2012-12-01,374576.45635529346,314311.0572484997,435507.1329843726
